ISD,Admin,Grade,Did Not Meet - %,Approaches - %,Meets - %,Masters - %,Org Id,Test Type
CONNALLY ISD,Spring 2022,3,37,63,28,13,161921,STAAR - Reading
CONROE ISD,Spring 2022,3,16,84,63,42,170902,STAAR - Reading
COOLIDGE ISD,Spring 2022,3,0,100,67,43,147901,STAAR - Reading
COOPER ISD,Spring 2022,3,28,72,53,28,60902,STAAR - Reading
COPPELL ISD,Spring 2022,3,9,91,74,54,57922,STAAR - Reading
COPPERAS COVE ISD,Spring 2022,3,19,81,51,28,50910,STAAR - Reading
CORPUS CHRISTI ISD,Spring 2022,3,26,74,48,26,178904,STAAR - Reading
CHISUM ISD,Spring 2022,3,11,89,73,36,139905,STAAR - Reading
CHRISTOVAL ISD,Spring 2022,3,3,97,82,65,226901,STAAR - Reading
CISCO ISD,Spring 2022,3,15,85,61,39,67902,STAAR - Reading
CITY VIEW ISD,Spring 2022,3,30,70,41,17,243906,STAAR - Reading
CITYSCAPE SCHOOLS,Spring 2022,3,46,54,29,10,57841,STAAR - Reading
CLARENDON ISD,Spring 2022,3,15,85,61,36,65901,STAAR - Reading
CLARKSVILLE ISD,Spring 2022,3,31,69,36,17,194904,STAAR - Reading
CLAUDE ISD,Spring 2022,3,3,97,77,52,6902,STAAR - Reading
CLEAR CREEK ISD,Spring 2022,3,15,85,62,41,84910,STAAR - Reading
CLEBURNE ISD,Spring 2022,3,25,75,43,22,126903,STAAR - Reading
CLEVELAND ISD,Spring 2022,3,39,61,28,12,146901,STAAR - Reading
CLIFTON ISD,Spring 2022,3,13,87,55,37,18901,STAAR - Reading
CLINT ISD,Spring 2022,3,33,67,38,17,71901,STAAR - Reading
CLYDE CISD,Spring 2022,3,23,77,45,24,30902,STAAR - Reading
COAHOMA ISD,Spring 2022,3,20,80,56,28,114902,STAAR - Reading
COLDSPRING-OAKHURST CISD,Spring 2022,3,27,73,45,24,204901,STAAR - Reading
COLEMAN ISD,Spring 2022,3,29,71,38,28,42901,STAAR - Reading
COLLEGE STATION ISD,Spring 2022,3,16,84,60,39,21901,STAAR - Reading
COLLINSVILLE ISD,Spring 2022,3,32,68,39,24,91902,STAAR - Reading
COLMESNEIL ISD,Spring 2022,3,33,68,25,23,229901,STAAR - Reading
CENTER POINT ISD,Spring 2022,3,32,68,39,23,133901,STAAR - Reading
CENTERVILLE ISD (145902),Spring 2022,3,6,94,53,27,145902,STAAR - Reading
CENTERVILLE ISD (228904),Spring 2022,3,0,0,0,0,228904,STAAR - Reading
CENTRAL HEIGHTS ISD,Spring 2022,3,11,89,65,34,174908,STAAR - Reading
CENTRAL ISD,Spring 2022,3,27,73,43,23,3907,STAAR - Reading
CHANNELVIEW ISD,Spring 2022,3,32,68,40,19,101905,STAAR - Reading
CHANNING ISD,Spring 2022,3,47,53,35,18,103901,STAAR - Reading
CHAPARRAL STAR ACADEMY (227814),Spring 2022,3,4,96,73,38,227814,STAAR - Reading
CHAPEL HILL ACADEMY (220815),Spring 2022,3,46,54,29,21,220815,STAAR - Reading
CHAPEL HILL ISD (212909),Spring 2022,3,26,74,52,32,212909,STAAR - Reading
CHAPEL HILL ISD (225906),Spring 2022,3,5,95,78,47,225906,STAAR - Reading
CHARLOTTE ISD,Spring 2022,3,38,62,33,21,7901,STAAR - Reading
CHEROKEE ISD,Spring 2022,3,0,100,86,71,206903,STAAR - Reading
CHESTER ISD,Spring 2022,3,14,86,71,29,229906,STAAR - Reading
CHICO ISD,Spring 2022,3,25,75,43,23,249904,STAAR - Reading
CHILDRESS ISD,Spring 2022,3,3,97,67,39,38901,STAAR - Reading
CHILLICOTHE ISD,Spring 2022,3,56,44,12,6,99902,STAAR - Reading
CHILTON ISD,Spring 2022,3,17,82,23,12,73901,STAAR - Reading
CHINA SPRING ISD,Spring 2022,3,15,85,66,42,161920,STAAR - Reading
CHIRENO ISD,Spring 2022,3,33,67,30,11,174901,STAAR - Reading
CALLISBURG ISD,Spring 2022,3,27,73,47,30,49905,STAAR - Reading
CALVERT ISD,Spring 2022,3,57,43,0,0,198902,STAAR - Reading
CAMERON ISD,Spring 2022,3,22,78,40,18,166901,STAAR - Reading
CAMPBELL ISD,Spring 2022,3,42,58,33,17,116910,STAAR - Reading
CANADIAN ISD,Spring 2022,3,2,98,62,31,106901,STAAR - Reading
CANTON ISD,Spring 2022,3,10,90,64,39,234902,STAAR - Reading
CANUTILLO ISD,Spring 2022,3,16,84,62,33,71907,STAAR - Reading
CANYON ISD,Spring 2022,3,11,89,64,41,191901,STAAR - Reading
CARLISLE ISD,Spring 2022,3,14,86,56,28,201913,STAAR - Reading
CARRIZO SPRINGS CISD,Spring 2022,3,31,69,45,25,64903,STAAR - Reading
CARROLL ISD,Spring 2022,3,2,98,90,72,220919,STAAR - Reading
CARROLLTON-FARMERS BRANCH ISD,Spring 2022,3,22,78,54,34,57903,STAAR - Reading
CARTHAGE ISD,Spring 2022,3,17,83,49,31,183902,STAAR - Reading
CASTLEBERRY ISD,Spring 2022,3,28,72,43,22,220917,STAAR - Reading
CAYUGA ISD,Spring 2022,3,17,82,72,53,1902,STAAR - Reading
CEDAR HILL ISD,Spring 2022,3,40,60,34,18,57904,STAAR - Reading
CEDARS INTERNATIONAL ACADEMY (227817),Spring 2022,3,45,55,24,12,227817,STAAR - Reading
CELESTE ISD,Spring 2022,3,32,68,35,19,116902,STAAR - Reading
CELINA ISD,Spring 2022,3,11,89,70,49,43903,STAAR - Reading
CENTER ISD,Spring 2022,3,27,73,43,20,210901,STAAR - Reading
BRUCEVILLE-EDDY ISD,Spring 2022,3,19,81,38,24,161919,STAAR - Reading
BRYAN ISD,Spring 2022,3,27,73,45,26,21902,STAAR - Reading
BRYSON ISD,Spring 2022,3,33,67,48,24,119901,STAAR - Reading
BUCKHOLTS ISD,Spring 2022,3,57,43,14,0,166907,STAAR - Reading
BUENA VISTA ISD,Spring 2022,3,16,84,42,21,186901,STAAR - Reading
BUFFALO ISD,Spring 2022,3,7,93,71,42,145901,STAAR - Reading
BULLARD ISD,Spring 2022,3,7,93,69,47,212902,STAAR - Reading
BUNA ISD,Spring 2022,3,19,81,55,36,121903,STAAR - Reading
BURKBURNETT ISD,Spring 2022,3,30,70,39,22,243901,STAAR - Reading
BURKEVILLE ISD,Spring 2022,3,62,38,6,6,176901,STAAR - Reading
BURLESON ISD,Spring 2022,3,17,83,59,37,126902,STAAR - Reading
BURNET CISD,Spring 2022,3,24,76,45,28,27903,STAAR - Reading
BURNHAM WOOD CHARTER SCHOOL DISTRICT,Spring 2022,3,12,88,68,37,71801,STAAR - Reading
BURTON ISD,Spring 2022,3,11,89,66,39,239903,STAAR - Reading
BUSHLAND ISD,Spring 2022,3,6,94,77,54,188904,STAAR - Reading
BYNUM ISD,Spring 2022,3,19,81,62,44,109902,STAAR - Reading
CADDO MILLS ISD,Spring 2022,3,9,91,65,38,116901,STAAR - Reading
CALALLEN ISD,Spring 2022,3,16,84,58,32,178903,STAAR - Reading
CALDWELL ISD,Spring 2022,3,19,81,57,34,26901,STAAR - Reading
CALHOUN COUNTY ISD,Spring 2022,3,16,84,53,29,29901,STAAR - Reading
BRAZOS RIVER CHARTER SCHOOL (213801),Spring 2022,3,0,0,0,0,213801,STAAR - Reading
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,Spring 2022,3,31,69,37,14,21803,STAAR - Reading
BRAZOSPORT ISD,Spring 2022,3,15,85,58,32,20905,STAAR - Reading
BRECKENRIDGE ISD,Spring 2022,3,19,81,43,22,215901,STAAR - Reading
BREMOND ISD,Spring 2022,3,24,76,41,29,198901,STAAR - Reading
BRENHAM ISD,Spring 2022,3,31,69,40,20,239901,STAAR - Reading
BRIDGE CITY ISD,Spring 2022,3,15,85,56,36,181901,STAAR - Reading
BRIDGEPORT ISD,Spring 2022,3,29,71,49,29,249903,STAAR - Reading
BRIDGEWAY PREPARATORY ACADEMY (057851),Spring 2022,3,80,20,20,0,57851,STAAR - Reading
BROADDUS ISD,Spring 2022,3,25,75,50,45,203902,STAAR - Reading
BROCK ISD,Spring 2022,3,13,87,71,42,184909,STAAR - Reading
BRONTE ISD (041901),Spring 2022,3,13,87,57,43,41901,STAAR - Reading
BROOKELAND ISD,Spring 2022,3,26,74,48,16,121902,STAAR - Reading
BROOKESMITH ISD,Spring 2022,3,12,88,25,0,25908,STAAR - Reading
BROOKS ACADEMIES OF TEXAS,Spring 2022,3,30,70,38,21,15830,STAAR - Reading
BROOKS COUNTY ISD,Spring 2022,3,50,50,25,16,24901,STAAR - Reading
BROWNFIELD ISD,Spring 2022,3,54,46,28,11,223901,STAAR - Reading
BROWNSBORO ISD,Spring 2022,3,17,83,55,35,107902,STAAR - Reading
BROWNSVILLE ISD,Spring 2022,3,27,73,46,23,31901,STAAR - Reading
BROWNWOOD ISD,Spring 2022,3,23,77,50,29,25902,STAAR - Reading
BLOOMINGTON ISD,Spring 2022,3,51,49,22,12,235901,STAAR - Reading
BLUE RIDGE ISD,Spring 2022,3,16,84,57,43,43917,STAAR - Reading
BLUFF DALE ISD,Spring 2022,3,19,81,38,31,72904,STAAR - Reading
BLUM ISD (109913),Spring 2022,3,14,86,67,33,109913,STAAR - Reading
BOB HOPE SCHOOL (123807),Spring 2022,3,17,83,47,24,123807,STAAR - Reading
BOERNE ISD,Spring 2022,3,10,90,71,46,130901,STAAR - Reading
BOLES ISD,Spring 2022,3,22,78,44,25,116916,STAAR - Reading
BOLING ISD,Spring 2022,3,34,66,47,29,241901,STAAR - Reading
BONHAM ISD,Spring 2022,3,25,75,36,18,74903,STAAR - Reading
BOOKER ISD,Spring 2022,3,18,82,55,27,148901,STAAR - Reading
BORDEN COUNTY ISD,Spring 2022,3,0,100,72,44,17901,STAAR - Reading
BORGER ISD,Spring 2022,3,28,72,48,26,117901,STAAR - Reading
BOSQUEVILLE ISD,Spring 2022,3,9,91,62,31,161923,STAAR - Reading
BOVINA ISD,Spring 2022,3,32,68,42,29,185901,STAAR - Reading
BOWIE ISD,Spring 2022,3,39,61,35,18,169901,STAAR - Reading
BOYD ISD,Spring 2022,3,24,76,46,24,249902,STAAR - Reading
BOYS RANCH ISD,Spring 2022,3,0,100,50,33,180901,STAAR - Reading
BRACKETT ISD,Spring 2022,3,17,83,48,21,136901,STAAR - Reading
BRADY ISD,Spring 2022,3,12,88,50,34,160901,STAAR - Reading
BRAZOS ISD,Spring 2022,3,33,67,25,8,8903,STAAR - Reading
CORPUS CHRISTI MONTESSORI SCHOOL (178807),Spring 2022,3,18,82,71,47,178807,STAAR - Reading
CORRIGAN-CAMDEN ISD,Spring 2022,3,18,82,53,26,187904,STAAR - Reading
CORSICANA ISD,Spring 2022,3,25,75,46,26,175903,STAAR - Reading
COTTON CENTER ISD,Spring 2022,3,33,67,50,33,95902,STAAR - Reading
COTULLA ISD,Spring 2022,3,44,56,30,14,142901,STAAR - Reading
COUPLAND ISD,Spring 2022,3,28,72,36,8,246914,STAAR - Reading
COVINGTON ISD,Spring 2022,3,20,80,52,32,109903,STAAR - Reading
CRANDALL ISD,Spring 2022,3,31,69,39,23,129901,STAAR - Reading
CRANE ISD,Spring 2022,3,31,69,36,25,52901,STAAR - Reading
CRANFILLS GAP ISD,Spring 2022,3,31,69,46,15,18908,STAAR - Reading
CRAWFORD ISD,Spring 2022,3,10,90,67,51,161901,STAAR - Reading
CROCKETT COUNTY CONSOLIDATED CSD,Spring 2022,3,4,96,57,20,53001,STAAR - Reading
CROCKETT ISD,Spring 2022,3,41,59,29,10,113901,STAAR - Reading
CROSBY ISD,Spring 2022,3,21,79,53,32,101906,STAAR - Reading
CROSBYTON CISD,Spring 2022,3,6,94,62,25,54901,STAAR - Reading
CROSS PLAINS ISD,Spring 2022,3,4,96,70,44,30901,STAAR - Reading
CROSS ROADS ISD,Spring 2022,3,8,92,42,33,107904,STAAR - Reading
CROWELL ISD,Spring 2022,3,17,83,42,33,78901,STAAR - Reading
CROWLEY ISD,Spring 2022,3,30,70,43,22,220912,STAAR - Reading
CRYSTAL CITY ISD,Spring 2022,3,35,65,33,19,254901,STAAR - Reading
CUERO ISD,Spring 2022,3,27,73,44,23,62901,STAAR - Reading
CULBERSON COUNTY-ALLAMOORE ISD,Spring 2022,3,41,59,31,16,55901,STAAR - Reading
CUMBERLAND ACADEMY,Spring 2022,3,24,76,43,24,212801,STAAR - Reading
CUMBY COLLEGIATE ISD,Spring 2022,3,17,83,33,20,112905,STAAR - Reading
CUSHING ISD,Spring 2022,3,24,76,49,24,174902,STAAR - Reading
CYPRESS-FAIRBANKS ISD,Spring 2022,3,20,80,58,35,101907,STAAR - Reading
D'HANIS ISD,Spring 2022,3,0,100,100,77,163902,STAAR - Reading
DAINGERFIELD-LONE STAR ISD,Spring 2022,3,21,79,33,15,172902,STAAR - Reading
DALHART ISD,Spring 2022,3,52,48,24,11,56901,STAAR - Reading
DALLAS ISD (057905),Spring 2022,3,30,70,45,27,57905,STAAR - Reading
DAMON ISD,Spring 2022,3,38,62,38,0,20910,STAAR - Reading
DANBURY ISD,Spring 2022,3,25,75,58,23,20904,STAAR - Reading
DARROUZETT ISD,Spring 2022,3,50,50,0,0,148905,STAAR - Reading
DAWSON ISD (058902),Spring 2022,3,29,71,36,21,58902,STAAR - Reading
DAWSON ISD (175904),Spring 2022,3,14,86,59,21,175904,STAAR - Reading
DAYTON ISD,Spring 2022,3,24,76,42,22,146902,STAAR - Reading
DE LEON ISD,Spring 2022,3,10,90,62,42,47902,STAAR - Reading
DECATUR ISD,Spring 2022,3,22,78,50,25,249905,STAAR - Reading
DEER PARK ISD,Spring 2022,3,18,82,57,35,101908,STAAR - Reading
DEKALB ISD,Spring 2022,3,13,87,53,29,19901,STAAR - Reading
DEL VALLE ISD,Spring 2022,3,33,67,36,16,227910,STAAR - Reading
DELL CITY ISD,Spring 2022,3,40,60,40,20,115903,STAAR - Reading
DENISON ISD,Spring 2022,3,19,81,50,26,91903,STAAR - Reading
DENTON ISD,Spring 2022,3,23,77,52,32,61901,STAAR - Reading
DENVER CITY ISD,Spring 2022,3,26,74,40,23,251901,STAAR - Reading
DESOTO ISD,Spring 2022,3,38,62,31,16,57906,STAAR - Reading
DETROIT ISD,Spring 2022,3,12,88,45,24,194905,STAAR - Reading
DEVERS ISD,Spring 2022,3,0,100,90,71,146903,STAAR - Reading
DEVINE ISD,Spring 2022,3,17,83,52,30,163901,STAAR - Reading
DEW ISD,Spring 2022,3,0,100,64,55,81906,STAAR - Reading
DEWEYVILLE ISD,Spring 2022,3,28,72,44,28,176903,STAAR - Reading
DIBOLL ISD,Spring 2022,3,15,85,54,25,3905,STAAR - Reading
DICKINSON ISD,Spring 2022,3,23,77,50,28,84901,STAAR - Reading
DILLEY ISD,Spring 2022,3,43,57,31,16,82902,STAAR - Reading
DIME BOX ISD,Spring 2022,3,33,67,20,13,144903,STAAR - Reading
DIMMITT ISD,Spring 2022,3,45,55,25,14,35901,STAAR - Reading
DIVIDE ISD,Spring 2022,3,0,100,60,0,133905,STAAR - Reading
DODD CITY ISD,Spring 2022,3,12,88,58,29,74904,STAAR - Reading
DONNA ISD,Spring 2022,3,37,63,34,15,108902,STAAR - Reading
DOSS CONSOLIDATED CSD,Spring 2022,3,0,100,40,20,86024,STAAR - Reading
DOUGLASS ISD,Spring 2022,3,10,90,76,38,174911,STAAR - Reading
DR M L GARZA-GONZALEZ CHARTER SCHOOL (178801),Spring 2022,3,26,74,26,21,178801,STAAR - Reading
DRAW ACADEMY (101856),Spring 2022,3,43,57,20,11,101856,STAAR - Reading
DRIPPING SPRINGS ISD,Spring 2022,3,7,93,71,51,105904,STAAR - Reading
DRISCOLL ISD,Spring 2022,3,8,92,53,24,178905,STAAR - Reading
DUBLIN ISD,Spring 2022,3,5,95,77,49,72902,STAAR - Reading
DUMAS ISD,Spring 2022,3,24,76,52,23,171901,STAAR - Reading
DUNCANVILLE ISD (057907),Spring 2022,3,42,58,34,17,57907,STAAR - Reading
EAGLE MT-SAGINAW ISD,Spring 2022,3,26,74,49,26,220918,STAAR - Reading
EAGLE PASS ISD,Spring 2022,3,26,74,43,22,159901,STAAR - Reading
EANES ISD,Spring 2022,3,4,96,82,56,227909,STAAR - Reading
EARLY ISD,Spring 2022,3,14,86,55,31,25909,STAAR - Reading
EAST BERNARD ISD,Spring 2022,3,14,86,64,34,241902,STAAR - Reading
EAST CENTRAL ISD,Spring 2022,3,39,61,30,16,15911,STAAR - Reading
EAST CHAMBERS ISD,Spring 2022,3,16,84,56,28,36903,STAAR - Reading
EAST FORT WORTH MONTESSORI ACADEMY (220811),Spring 2022,3,21,79,54,32,220811,STAAR - Reading
EASTLAND ISD,Spring 2022,3,18,82,48,24,67903,STAAR - Reading
ECTOR COUNTY ISD,Spring 2022,3,32,68,40,21,68901,STAAR - Reading
ECTOR ISD,Spring 2022,3,57,43,29,7,74905,STAAR - Reading
EDCOUCH-ELSA ISD,Spring 2022,3,35,65,37,17,108903,STAAR - Reading
EDEN CISD (048901),Spring 2022,3,38,62,50,50,48901,STAAR - Reading
EDGEWOOD ISD (015905),Spring 2022,3,47,53,28,13,15905,STAAR - Reading
EDGEWOOD ISD (234903),Spring 2022,3,29,71,34,13,234903,STAAR - Reading
