ISD,Admin,Grade,Did Not Meet - %,Approaches - %,Meets - %,Masters - %,Org Id,Test Type,Approaches,Meets,Masters
DEVERS ISD,Spring 2022,3,0,100,90,71,146903,STAAR - Reading,10,19,71
DEVINE ISD,Spring 2022,3,17,83,52,30,163901,STAAR - Reading,31,22,30
DEW ISD,Spring 2022,3,0,100,64,55,81906,STAAR - Reading,36,9,55
DEWEYVILLE ISD,Spring 2022,3,28,72,44,28,176903,STAAR - Reading,28,16,28
DIBOLL ISD,Spring 2022,3,15,85,54,25,3905,STAAR - Reading,31,29,25
DICKINSON ISD,Spring 2022,3,23,77,50,28,84901,STAAR - Reading,27,22,28
DILLEY ISD,Spring 2022,3,43,57,31,16,82902,STAAR - Reading,26,15,16
DIME BOX ISD,Spring 2022,3,33,67,20,13,144903,STAAR - Reading,47,7,13
DIMMITT ISD,Spring 2022,3,45,55,25,14,35901,STAAR - Reading,30,11,14
DIVIDE ISD,Spring 2022,3,0,100,60,0,133905,STAAR - Reading,40,60,0
DODD CITY ISD,Spring 2022,3,12,88,58,29,74904,STAAR - Reading,30,29,29
DONNA ISD,Spring 2022,3,37,63,34,15,108902,STAAR - Reading,29,19,15
DOSS CONSOLIDATED CSD,Spring 2022,3,0,100,40,20,86024,STAAR - Reading,60,20,20
DOUGLASS ISD,Spring 2022,3,10,90,76,38,174911,STAAR - Reading,14,38,38
DR M L GARZA-GONZALEZ CHARTER SCHOOL (178801),Spring 2022,3,26,74,26,21,178801,STAAR - Reading,48,5,21
DRAW ACADEMY (101856),Spring 2022,3,43,57,20,11,101856,STAAR - Reading,37,9,11
DRIPPING SPRINGS ISD,Spring 2022,3,7,93,71,51,105904,STAAR - Reading,22,20,51
DRISCOLL ISD,Spring 2022,3,8,92,53,24,178905,STAAR - Reading,39,29,24
DUBLIN ISD,Spring 2022,3,5,95,77,49,72902,STAAR - Reading,18,28,49
DUMAS ISD,Spring 2022,3,24,76,52,23,171901,STAAR - Reading,24,29,23
DUNCANVILLE ISD (057907),Spring 2022,3,42,58,34,17,57907,STAAR - Reading,24,17,17
EAGLE MT-SAGINAW ISD,Spring 2022,3,26,74,49,26,220918,STAAR - Reading,25,23,26
EAGLE PASS ISD,Spring 2022,3,26,74,43,22,159901,STAAR - Reading,31,21,22
EANES ISD,Spring 2022,3,4,96,82,56,227909,STAAR - Reading,14,26,56
EARLY ISD,Spring 2022,3,14,86,55,31,25909,STAAR - Reading,31,24,31
EAST BERNARD ISD,Spring 2022,3,14,86,64,34,241902,STAAR - Reading,22,30,34
EAST CENTRAL ISD,Spring 2022,3,39,61,30,16,15911,STAAR - Reading,31,14,16
EAST CHAMBERS ISD,Spring 2022,3,16,84,56,28,36903,STAAR - Reading,28,28,28
EAST FORT WORTH MONTESSORI ACADEMY (220811),Spring 2022,3,21,79,54,32,220811,STAAR - Reading,25,22,32
EASTLAND ISD,Spring 2022,3,18,82,48,24,67903,STAAR - Reading,34,24,24
ECTOR COUNTY ISD,Spring 2022,3,32,68,40,21,68901,STAAR - Reading,28,19,21
ECTOR ISD,Spring 2022,3,57,43,29,7,74905,STAAR - Reading,14,22,7
EDCOUCH-ELSA ISD,Spring 2022,3,35,65,37,17,108903,STAAR - Reading,28,20,17
EDEN CISD (048901),Spring 2022,3,38,62,50,50,48901,STAAR - Reading,12,0,50
EDGEWOOD ISD (015905),Spring 2022,3,47,53,28,13,15905,STAAR - Reading,25,15,13
EDGEWOOD ISD (234903),Spring 2022,3,29,71,34,13,234903,STAAR - Reading,37,21,13
EDINBURG CISD,Spring 2022,3,21,79,52,30,108904,STAAR - Reading,27,22,30
EDNA ISD,Spring 2022,3,15,85,49,28,120901,STAAR - Reading,36,21,28
EDUCATION CENTER INTERNATIONAL ACADEMY,Spring 2022,3,23,77,34,19,57833,STAAR - Reading,43,15,19
EHRHART SCHOOL (123805),Spring 2022,3,9,91,54,26,123805,STAAR - Reading,37,28,26
EL CAMPO ISD,Spring 2022,3,28,72,45,26,241903,STAAR - Reading,27,19,26
EL PASO ISD,Spring 2022,3,20,80,55,32,71902,STAAR - Reading,25,23,32
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY (015836),Spring 2022,3,5,95,82,67,15836,STAAR - Reading,13,15,67
ELECTRA ISD,Spring 2022,3,69,31,23,11,243902,STAAR - Reading,8,12,11
ELGIN ISD,Spring 2022,3,31,69,39,17,11902,STAAR - Reading,30,22,17
ELKHART ISD,Spring 2022,3,12,88,56,31,1903,STAAR - Reading,32,25,31
ELYSIAN FIELDS ISD,Spring 2022,3,3,97,53,26,102906,STAAR - Reading,44,27,26
ENNIS ISD,Spring 2022,3,21,79,47,28,70903,STAAR - Reading,32,19,28
ERA ISD,Spring 2022,3,18,82,59,33,49906,STAAR - Reading,23,26,33
ETOILE ISD,Spring 2022,3,40,60,60,10,174910,STAAR - Reading,0,50,10
EULA ISD,Spring 2022,3,5,95,57,23,30906,STAAR - Reading,38,34,23
EUSTACE ISD,Spring 2022,3,18,82,57,28,107905,STAAR - Reading,25,29,28
EVADALE ISD,Spring 2022,3,29,71,29,10,121906,STAAR - Reading,42,19,10
EVANT ISD,Spring 2022,3,27,73,33,13,50901,STAAR - Reading,40,20,13
EVERMAN ISD,Spring 2022,3,29,71,42,27,220904,STAAR - Reading,29,15,27
EXCELLENCE IN LEADERSHIP ACADEMY (108809),Spring 2022,3,33,67,48,22,108809,STAAR - Reading,19,26,22
EXCELSIOR ISD,Spring 2022,3,60,40,20,20,210906,STAAR - Reading,20,0,20
EZZELL ISD,Spring 2022,3,0,100,88,38,143906,STAAR - Reading,12,50,38
FABENS ISD,Spring 2022,3,39,61,28,12,71903,STAAR - Reading,33,16,12
FAIRFIELD ISD,Spring 2022,3,28,72,46,31,81902,STAAR - Reading,26,15,31
FALLS CITY ISD,Spring 2022,3,0,100,73,50,128904,STAAR - Reading,27,23,50
FANNINDEL ISD,Spring 2022,3,36,64,18,9,60914,STAAR - Reading,46,9,9
FARMERSVILLE ISD,Spring 2022,3,18,82,61,39,43904,STAAR - Reading,21,22,39
FARWELL ISD,Spring 2022,3,8,92,79,28,185902,STAAR - Reading,13,51,28
FAYETTEVILLE ISD,Spring 2022,3,22,78,50,33,75906,STAAR - Reading,28,17,33
FERRIS ISD,Spring 2022,3,21,79,51,30,70905,STAAR - Reading,28,21,30
FLATONIA ISD,Spring 2022,3,7,93,74,44,75901,STAAR - Reading,19,30,44
FLORENCE ISD,Spring 2022,3,42,58,36,21,246902,STAAR - Reading,22,15,21
FLORESVILLE ISD,Spring 2022,3,24,76,49,28,247901,STAAR - Reading,27,21,28
FLOUR BLUFF ISD,Spring 2022,3,13,87,59,33,178914,STAAR - Reading,28,26,33
FLOYDADA COLLEGIATE ISD,Spring 2022,3,25,75,44,27,77901,STAAR - Reading,31,17,27
FOLLETT ISD,Spring 2022,3,18,82,45,9,148902,STAAR - Reading,37,36,9
FORESTBURG ISD,Spring 2022,3,20,80,40,20,169910,STAAR - Reading,40,20,20
FORNEY ISD,Spring 2022,3,23,77,51,31,129902,STAAR - Reading,26,20,31
FORSAN ISD,Spring 2022,3,18,82,58,40,114904,STAAR - Reading,24,18,40
FORT BEND ISD,Spring 2022,3,18,82,60,39,79907,STAAR - Reading,22,21,39
FORT ELLIOTT CISD,Spring 2022,3,23,77,46,23,242906,STAAR - Reading,31,23,23
FORT STOCKTON ISD,Spring 2022,3,23,77,42,20,186902,STAAR - Reading,35,22,20
FORT WORTH ACADEMY OF FINE ARTS (220809),Spring 2022,3,0,100,92,66,220809,STAAR - Reading,8,26,66
FORT WORTH ISD,Spring 2022,3,34,66,38,20,220905,STAAR - Reading,28,18,20
FRANKLIN ISD,Spring 2022,3,4,96,74,52,198903,STAAR - Reading,22,22,52
FRANKSTON ISD,Spring 2022,3,11,89,51,18,1904,STAAR - Reading,38,33,18
FREDERICKSBURG ISD,Spring 2022,3,21,79,58,37,86901,STAAR - Reading,21,21,37
FREER ISD,Spring 2022,3,18,82,44,18,66903,STAAR - Reading,38,26,18
FRENSHIP ISD,Spring 2022,3,14,86,63,39,152907,STAAR - Reading,23,24,39
FRIENDSWOOD ISD,Spring 2022,3,8,92,74,53,84911,STAAR - Reading,18,21,53
FRIONA ISD,Spring 2022,3,43,57,27,12,185903,STAAR - Reading,30,15,12
FRISCO ISD,Spring 2022,3,9,91,72,49,43905,STAAR - Reading,19,23,49
FROST ISD,Spring 2022,3,23,77,41,27,175905,STAAR - Reading,36,14,27
FRUITVALE ISD,Spring 2022,3,8,92,60,24,234909,STAAR - Reading,32,36,24
FT DAVIS ISD,Spring 2022,3,20,80,40,40,122901,STAAR - Reading,40,0,40
FT HANCOCK ISD,Spring 2022,3,29,71,25,17,115901,STAAR - Reading,46,8,17
FT SAM HOUSTON ISD,Spring 2022,3,18,82,59,42,15914,STAAR - Reading,23,17,42
HUNT ISD,Spring 2022,3,5,95,52,33,133902,STAAR - Reading,43,19,33
HUNTINGTON ISD,Spring 2022,3,18,82,51,25,3904,STAAR - Reading,31,26,25
HUNTSVILLE ISD,Spring 2022,3,36,64,39,21,236902,STAAR - Reading,25,18,21
HURST-EULESS-BEDFORD ISD,Spring 2022,3,14,86,64,41,220916,STAAR - Reading,22,23,41
HUTTO ISD,Spring 2022,3,20,80,50,32,246906,STAAR - Reading,30,18,32
IDALOU ISD,Spring 2022,3,7,93,80,66,152910,STAAR - Reading,13,14,66
IDEA PUBLIC SCHOOLS,Spring 2022,3,24,76,50,28,108807,STAAR - Reading,26,22,28
IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS (043801),Spring 2022,3,7,93,73,51,43801,STAAR - Reading,20,22,51
INDUSTRIAL ISD,Spring 2022,3,0,100,76,46,120905,STAAR - Reading,24,30,46
INGLESIDE ISD,Spring 2022,3,20,80,56,32,205903,STAAR - Reading,24,24,32
INGRAM ISD,Spring 2022,3,24,76,47,20,133904,STAAR - Reading,29,27,20
INSPIRE ACADEMIES,Spring 2022,3,16,84,52,39,15808,STAAR - Reading,32,13,39
INSPIRED VISION ACADEMY,Spring 2022,3,40,60,29,22,57830,STAAR - Reading,31,7,22
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),Spring 2022,3,34,66,39,21,57848,STAAR - Reading,27,18,21
IOLA ISD,Spring 2022,3,7,93,71,44,93903,STAAR - Reading,22,27,44
IOWA PARK CISD,Spring 2022,3,16,84,50,25,243903,STAAR - Reading,34,25,25
IRA ISD,Spring 2022,3,0,100,67,43,208903,STAAR - Reading,33,24,43
IRAAN-SHEFFIELD COLLEGIATE ISD,Spring 2022,3,39,61,26,17,186903,STAAR - Reading,35,9,17
IREDELL ISD,Spring 2022,3,0,100,83,50,18906,STAAR - Reading,17,33,50
IRION COUNTY ISD,Spring 2022,3,0,100,65,50,118902,STAAR - Reading,35,15,50
HIGHLAND PARK ISD (188903),Spring 2022,3,14,86,54,30,188903,STAAR - Reading,32,24,30
HILLSBORO ISD,Spring 2022,3,20,80,46,25,109904,STAAR - Reading,34,21,25
HITCHCOCK ISD,Spring 2022,3,36,64,28,20,84908,STAAR - Reading,36,8,20
HOLLAND ISD,Spring 2022,3,7,93,67,38,14905,STAAR - Reading,26,29,38
HOLLIDAY ISD,Spring 2022,3,21,79,48,31,5902,STAAR - Reading,31,17,31
HONDO ISD,Spring 2022,3,33,67,37,19,163904,STAAR - Reading,30,18,19
HONEY GROVE ISD,Spring 2022,3,3,97,72,47,74907,STAAR - Reading,25,25,47
HOOKS ISD,Spring 2022,3,11,89,78,51,19902,STAAR - Reading,11,27,51
HORIZON MONTESSORI PUBLIC SCHOOLS,Spring 2022,3,29,71,46,29,108802,STAAR - Reading,25,17,29
HOUSTON GATEWAY ACADEMY INC,Spring 2022,3,10,90,68,38,101828,STAAR - Reading,22,30,38
HOUSTON ISD (101912),Spring 2022,3,27,73,49,30,101912,STAAR - Reading,24,19,30
HOWE ISD,Spring 2022,3,26,74,45,27,91905,STAAR - Reading,29,18,27
HUBBARD ISD (019913),Spring 2022,3,29,71,43,0,19913,STAAR - Reading,28,43,0
HUBBARD ISD (109905),Spring 2022,3,25,75,50,25,109905,STAAR - Reading,25,25,25
HUCKABAY ISD,Spring 2022,3,7,93,72,31,72908,STAAR - Reading,21,41,31
HUDSON ISD,Spring 2022,3,19,81,53,29,3902,STAAR - Reading,28,24,29
HUFFMAN ISD,Spring 2022,3,24,76,49,24,101925,STAAR - Reading,27,25,24
HUGHES SPRINGS ISD,Spring 2022,3,17,83,52,24,34903,STAAR - Reading,31,28,24
HULL-DAISETTA ISD,Spring 2022,3,44,56,25,14,146905,STAAR - Reading,31,11,14
HUMBLE ISD,Spring 2022,3,21,79,53,30,101913,STAAR - Reading,26,23,30
HARTS BLUFF ISD,Spring 2022,3,29,71,38,16,225907,STAAR - Reading,33,22,16
HASKELL CISD,Spring 2022,3,15,85,53,30,104901,STAAR - Reading,32,23,30
HAWKINS ISD,Spring 2022,3,22,78,39,24,250902,STAAR - Reading,39,15,24
HAWLEY ISD,Spring 2022,3,23,77,52,27,127904,STAAR - Reading,25,25,27
HAYS CISD,Spring 2022,3,18,82,56,34,105906,STAAR - Reading,26,22,34
HEARNE ISD,Spring 2022,3,44,56,33,14,198905,STAAR - Reading,23,19,14
HEDLEY ISD,Spring 2022,3,0,100,88,75,65902,STAAR - Reading,12,13,75
HEMPHILL ISD,Spring 2022,3,20,80,45,21,202903,STAAR - Reading,35,24,21
HEMPSTEAD ISD,Spring 2022,3,37,63,37,17,237902,STAAR - Reading,26,20,17
HENDERSON ISD,Spring 2022,3,37,63,30,17,201902,STAAR - Reading,33,13,17
HENRIETTA ISD,Spring 2022,3,18,82,39,18,39902,STAAR - Reading,43,21,18
HEREFORD ISD,Spring 2022,3,24,76,41,21,59901,STAAR - Reading,35,20,21
HERITAGE ACADEMY (015815),Spring 2022,3,44,56,39,28,15815,STAAR - Reading,17,11,28
HERMLEIGH ISD,Spring 2022,3,36,64,45,27,208901,STAAR - Reading,19,18,27
HICO ISD,Spring 2022,3,9,91,63,23,97903,STAAR - Reading,28,40,23
HIDALGO ISD,Spring 2022,3,14,86,65,39,108905,STAAR - Reading,21,26,39
HIGH ISLAND ISD,Spring 2022,3,0,100,50,0,84903,STAAR - Reading,50,50,0
HIGH POINT ACADEMY (220819),Spring 2022,3,20,80,57,33,220819,STAAR - Reading,23,24,33
HIGHLAND ISD,Spring 2022,3,0,100,78,22,177905,STAAR - Reading,22,56,22
HIGHLAND PARK ISD (057911),Spring 2022,3,3,97,88,67,57911,STAAR - Reading,9,21,67
HAMLIN COLLEGIATE ISD,Spring 2022,3,32,68,47,24,127903,STAAR - Reading,21,23,24
HAMSHIRE-FANNETT ISD,Spring 2022,3,10,90,60,35,123914,STAAR - Reading,30,25,35
HAPPY ISD,Spring 2022,3,17,83,61,44,219901,STAAR - Reading,22,17,44
HARDIN ISD,Spring 2022,3,19,81,58,31,146904,STAAR - Reading,23,27,31
HARDIN-JEFFERSON ISD,Spring 2022,3,24,76,49,29,100905,STAAR - Reading,27,20,29
HARLANDALE ISD,Spring 2022,3,35,65,35,17,15904,STAAR - Reading,30,18,17
HARLETON ISD,Spring 2022,3,11,89,62,38,102905,STAAR - Reading,27,24,38
HARLINGEN CISD,Spring 2022,3,24,76,46,24,31903,STAAR - Reading,30,22,24
HARMONY ISD,Spring 2022,3,10,90,69,27,230905,STAAR - Reading,21,42,27
HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,Spring 2022,3,23,77,53,38,227816,STAAR - Reading,24,15,38
HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,Spring 2022,3,25,75,50,28,101858,STAAR - Reading,25,22,28
HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,Spring 2022,3,23,77,49,22,101846,STAAR - Reading,28,27,22
HARMONY PUBLIC SCHOOLS - HOUSTON WEST,Spring 2022,3,18,82,58,39,101862,STAAR - Reading,24,19,39
HARMONY PUBLIC SCHOOLS - NORTH TEXAS,Spring 2022,3,28,72,45,26,161807,STAAR - Reading,27,19,26
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,Spring 2022,3,39,61,29,15,15828,STAAR - Reading,32,14,15
HARMONY PUBLIC SCHOOLS - WEST TEXAS,Spring 2022,3,23,77,51,31,71806,STAAR - Reading,26,20,31
HARPER ISD,Spring 2022,3,13,87,39,24,86902,STAAR - Reading,48,15,24
HARROLD ISD,Spring 2022,3,12,88,62,50,244901,STAAR - Reading,26,12,50
HART ISD (035902),Spring 2022,3,20,80,60,40,35902,STAAR - Reading,20,20,40
HARTLEY ISD,Spring 2022,3,10,90,57,38,103902,STAAR - Reading,33,19,38
GRANGER ISD,Spring 2022,3,43,57,21,7,246905,STAAR - Reading,36,14,7
GRAPE CREEK ISD,Spring 2022,3,30,70,49,30,226907,STAAR - Reading,21,19,30
GRAPELAND ISD,Spring 2022,3,20,80,53,23,113902,STAAR - Reading,27,30,23
GRAPEVINE-COLLEYVILLE ISD,Spring 2022,3,13,87,67,48,220906,STAAR - Reading,20,19,48
GREAT HEARTS TEXAS,Spring 2022,3,13,87,63,38,15835,STAAR - Reading,24,25,38
GREENVILLE ISD,Spring 2022,3,34,66,38,21,116905,STAAR - Reading,28,17,21
GREENWOOD ISD,Spring 2022,3,16,84,52,32,165902,STAAR - Reading,32,20,32
GREGORY-PORTLAND ISD,Spring 2022,3,18,82,52,31,205902,STAAR - Reading,30,21,31
GROESBECK ISD,Spring 2022,3,19,81,49,25,147902,STAAR - Reading,32,24,25
GROOM ISD,Spring 2022,3,0,100,90,60,33901,STAAR - Reading,10,30,60
GROVETON ISD,Spring 2022,3,27,73,46,21,228901,STAAR - Reading,27,25,21
GRUVER ISD,Spring 2022,3,5,95,80,40,98901,STAAR - Reading,15,40,40
GUNTER ISD,Spring 2022,3,10,90,59,34,91917,STAAR - Reading,31,25,34
GUSTINE ISD,Spring 2022,3,11,89,56,33,47903,STAAR - Reading,33,23,33
GUTHRIE CSD,Spring 2022,3,0,100,100,43,135001,STAAR - Reading,0,57,43
HALE CENTER ISD,Spring 2022,3,10,90,39,27,95903,STAAR - Reading,51,12,27
HALLETTSVILLE ISD,Spring 2022,3,17,83,53,31,143901,STAAR - Reading,30,22,31
HALLSBURG ISD,Spring 2022,3,5,95,53,16,161924,STAAR - Reading,42,37,16
HALLSVILLE ISD,Spring 2022,3,22,78,49,29,102904,STAAR - Reading,29,20,29
HAMILTON ISD,Spring 2022,3,17,83,56,24,97902,STAAR - Reading,27,32,24
GODLEY ISD,Spring 2022,3,20,80,52,27,126911,STAAR - Reading,28,25,27
GOLD BURG ISD,Spring 2022,3,14,86,71,29,169906,STAAR - Reading,15,42,29
GOLDEN RULE CHARTER SCHOOL (057835),Spring 2022,3,15,85,56,35,57835,STAAR - Reading,29,21,35
GOLDTHWAITE ISD,Spring 2022,3,5,95,71,50,167901,STAAR - Reading,24,21,50
GOLIAD ISD,Spring 2022,3,20,80,49,22,88902,STAAR - Reading,31,27,22
GONZALES ISD,Spring 2022,3,30,70,39,17,89901,STAAR - Reading,31,22,17
GOODRICH ISD,Spring 2022,3,38,62,33,19,187903,STAAR - Reading,29,14,19
GOODWATER MONTESSORI SCHOOL (246802),Spring 2022,3,42,58,50,31,246802,STAAR - Reading,8,19,31
GOOSE CREEK CISD,Spring 2022,3,26,74,48,26,101911,STAAR - Reading,26,22,26
GORDON ISD,Spring 2022,3,8,92,62,38,182901,STAAR - Reading,30,24,38
GORMAN ISD,Spring 2022,3,5,95,82,45,67904,STAAR - Reading,13,37,45
GRADY ISD,Spring 2022,3,0,100,91,64,156905,STAAR - Reading,9,27,64
GRAFORD ISD,Spring 2022,3,44,56,28,22,182902,STAAR - Reading,28,6,22
GRAHAM ISD,Spring 2022,3,22,78,50,33,252901,STAAR - Reading,28,17,33
GRANBURY ISD,Spring 2022,3,16,84,62,42,111901,STAAR - Reading,22,20,42
GRAND PRAIRIE ISD,Spring 2022,3,22,78,53,31,57910,STAAR - Reading,25,22,31
GRAND SALINE ISD,Spring 2022,3,26,74,43,22,234904,STAAR - Reading,31,21,22
GRANDFALLS-ROYALTY ISD,Spring 2022,3,38,62,23,23,238904,STAAR - Reading,39,0,23
GRANDVIEW ISD,Spring 2022,3,12,88,68,36,126904,STAAR - Reading,20,32,36
GRANDVIEW-HOPKINS ISD,Spring 2022,3,0,0,0,0,90905,STAAR - Reading,0,0,0
GAINESVILLE ISD,Spring 2022,3,42,58,37,17,49901,STAAR - Reading,21,20,17
GALENA PARK ISD (101910),Spring 2022,3,23,77,46,24,101910,STAAR - Reading,31,22,24
GALVESTON ISD,Spring 2022,3,22,78,49,29,84902,STAAR - Reading,29,20,29
GANADO ISD,Spring 2022,3,18,82,70,46,120902,STAAR - Reading,12,24,46
GARLAND ISD,Spring 2022,3,22,78,52,30,57909,STAAR - Reading,26,22,30
GARNER ISD (184911),Spring 2022,3,36,64,41,32,184911,STAAR - Reading,23,9,32
GARRISON ISD,Spring 2022,3,11,89,70,46,174903,STAAR - Reading,19,24,46
GARY ISD,Spring 2022,3,18,82,55,34,183904,STAAR - Reading,27,21,34
GATESVILLE ISD,Spring 2022,3,12,88,57,36,50902,STAAR - Reading,31,21,36
GATEWAY CHARTER ACADEMY (057831),Spring 2022,3,49,51,26,6,57831,STAAR - Reading,25,20,6
GAUSE ISD,Spring 2022,3,7,93,86,21,166902,STAAR - Reading,7,65,21
GEORGE GERVIN ACADEMY (015802),Spring 2022,3,58,42,23,10,15802,STAAR - Reading,19,13,10
GEORGE WEST ISD,Spring 2022,3,10,90,75,52,149901,STAAR - Reading,15,23,52
GEORGETOWN ISD,Spring 2022,3,25,75,49,30,246904,STAAR - Reading,26,19,30
GHOLSON ISD,Spring 2022,3,44,56,22,0,161925,STAAR - Reading,34,22,0
GIDDINGS ISD,Spring 2022,3,18,82,47,26,144901,STAAR - Reading,35,21,26
GILMER ISD,Spring 2022,3,26,74,48,24,230902,STAAR - Reading,26,24,24
GLADEWATER ISD,Spring 2022,3,40,60,31,15,92901,STAAR - Reading,29,16,15
GLASSCOCK COUNTY ISD,Spring 2022,3,7,93,86,71,87901,STAAR - Reading,7,15,71
GLEN ROSE ISD,Spring 2022,3,14,86,64,43,213901,STAAR - Reading,22,21,43
MOTLEY COUNTY ISD,Spring 2022,3,10,90,80,60,173901,STAAR - Reading,10,20,60
MOULTON ISD,Spring 2022,3,32,68,47,26,143902,STAAR - Reading,21,21,26
MOUNT CALM ISD (109910),Spring 2022,3,40,60,13,7,109910,STAAR - Reading,47,6,7
MOUNT ENTERPRISE ISD,Spring 2022,3,14,86,56,33,201907,STAAR - Reading,30,23,33
MOUNT PLEASANT ISD,Spring 2022,3,16,84,62,32,225902,STAAR - Reading,22,30,32
MOUNT VERNON ISD,Spring 2022,3,18,82,51,33,80901,STAAR - Reading,31,18,33
MUENSTER ISD,Spring 2022,3,9,91,77,66,49902,STAAR - Reading,14,11,66
MULESHOE ISD,Spring 2022,3,37,63,29,16,9901,STAAR - Reading,34,13,16
MULLIN ISD (167902),Spring 2022,3,43,57,43,43,167902,STAAR - Reading,14,0,43
MUMFORD ISD,Spring 2022,3,0,100,88,45,198906,STAAR - Reading,12,43,45
MUNDAY CISD,Spring 2022,3,17,83,45,28,138903,STAAR - Reading,38,17,28
MURCHISON ISD,Spring 2022,3,26,74,30,4,107908,STAAR - Reading,44,26,4
NACOGDOCHES ISD,Spring 2022,3,45,55,30,13,174904,STAAR - Reading,25,17,13
NATALIA ISD,Spring 2022,3,41,59,36,26,163903,STAAR - Reading,23,10,26
NAVARRO ISD,Spring 2022,3,14,86,50,26,94903,STAAR - Reading,36,24,26
NAVASOTA ISD,Spring 2022,3,24,76,46,21,93904,STAAR - Reading,30,25,21
NAZARETH ISD,Spring 2022,3,14,86,77,55,35903,STAAR - Reading,9,22,55
NECHES ISD,Spring 2022,3,10,90,65,30,1906,STAAR - Reading,25,35,30
NEDERLAND ISD,Spring 2022,3,12,88,64,36,123905,STAAR - Reading,24,28,36
NEEDVILLE ISD,Spring 2022,3,13,87,61,33,79906,STAAR - Reading,26,28,33
MIDWAY ISD (161903),Spring 2022,3,13,87,65,43,161903,STAAR - Reading,22,22,43
MILANO ISD,Spring 2022,3,0,100,80,40,166903,STAAR - Reading,20,40,40
MILDRED ISD,Spring 2022,3,22,78,57,31,175910,STAAR - Reading,21,26,31
MILES ISD,Spring 2022,3,9,91,75,44,200902,STAAR - Reading,16,31,44
MILFORD ISD,Spring 2022,3,20,80,50,30,70909,STAAR - Reading,30,20,30
MILLER GROVE ISD,Spring 2022,3,5,95,63,37,112907,STAAR - Reading,32,26,37
MILLSAP ISD,Spring 2022,3,33,67,37,23,184904,STAAR - Reading,30,14,23
MINEOLA ISD,Spring 2022,3,18,82,45,23,250903,STAAR - Reading,37,22,23
MINERAL WELLS ISD,Spring 2022,3,24,76,50,24,182903,STAAR - Reading,26,26,24
MISSION CISD (108908),Spring 2022,3,27,73,46,23,108908,STAAR - Reading,27,23,23
MONAHANS-WICKETT-PYOTE ISD,Spring 2022,3,13,87,60,38,238902,STAAR - Reading,27,22,38
MONTAGUE ISD,Spring 2022,3,0,100,60,40,169908,STAAR - Reading,40,20,40
MONTE ALTO ISD,Spring 2022,3,36,64,36,11,108915,STAAR - Reading,28,25,11
MONTESSORI FOR ALL,Spring 2022,3,18,82,55,38,227826,STAAR - Reading,27,17,38
MONTGOMERY ISD,Spring 2022,3,8,92,74,48,170903,STAAR - Reading,18,26,48
MOODY ISD,Spring 2022,3,9,91,63,43,161910,STAAR - Reading,28,20,43
MORAN ISD,Spring 2022,3,17,83,67,67,209902,STAAR - Reading,16,0,67
MORGAN ISD,Spring 2022,3,50,50,25,25,18903,STAAR - Reading,25,0,25
MORGAN MILL ISD,Spring 2022,3,36,64,45,18,72910,STAAR - Reading,19,27,18
MORTON ISD,Spring 2022,3,32,68,32,21,40901,STAAR - Reading,36,11,21
MEADOW ISD,Spring 2022,3,27,73,45,18,223902,STAAR - Reading,28,27,18
MEADOWLAND CHARTER DISTRICT,Spring 2022,3,67,33,17,17,130801,STAAR - Reading,16,0,17
MEDINA ISD,Spring 2022,3,15,85,65,25,10901,STAAR - Reading,20,40,25
MEDINA VALLEY ISD,Spring 2022,3,18,82,59,37,163908,STAAR - Reading,23,22,37
MELISSA ISD,Spring 2022,3,12,88,71,47,43908,STAAR - Reading,17,24,47
MEMPHIS ISD,Spring 2022,3,24,76,43,19,96904,STAAR - Reading,33,24,19
MENARD ISD,Spring 2022,3,27,73,53,13,164901,STAAR - Reading,20,40,13
MERCEDES ISD,Spring 2022,3,40,60,33,13,108907,STAAR - Reading,27,20,13
MERIDIAN ISD,Spring 2022,3,27,73,36,18,18902,STAAR - Reading,37,18,18
MERIDIAN WORLD SCHOOL LLC (246801),Spring 2022,3,4,96,81,60,246801,STAAR - Reading,15,21,60
MERKEL ISD,Spring 2022,3,35,65,41,18,221904,STAAR - Reading,24,23,18
MESQUITE ISD,Spring 2022,3,28,72,42,23,57914,STAAR - Reading,30,19,23
MEXIA ISD,Spring 2022,3,28,72,41,19,147903,STAAR - Reading,31,22,19
MEYERPARK ELEMENTARY,Spring 2022,3,27,73,40,19,101855,STAAR - Reading,33,21,19
MEYERSVILLE ISD,Spring 2022,3,6,94,65,41,62906,STAAR - Reading,29,24,41
MIAMI ISD,Spring 2022,3,8,92,42,33,197902,STAAR - Reading,50,9,33
MIDLAND ACADEMY CHARTER SCHOOL (165802),Spring 2022,3,10,90,65,48,165802,STAAR - Reading,25,17,48
MIDLAND ISD,Spring 2022,3,25,75,48,28,165901,STAAR - Reading,27,20,28
MIDLOTHIAN ISD,Spring 2022,3,13,87,58,37,70908,STAAR - Reading,29,21,37
