OBJECTID,STATEFP,ELSDLEA,SCSDLEA,UNSDLEA,SDADMLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_YEAR,SCHOOLYEAR,Shape__Area,Shape__Length
3365,40, , ,25860, ,4025860,Ringling Public Schools,00,PK,12,G5420, ,E,696484868,3375007,+34.1098254,-097.6230061,2022,2021-2022,0.0683932108311183,1.92242503754815
3366,40, , ,05340, ,4005340,Bray-Doyle Public Schools,00,PK,12,G5420, ,E,593831288,16252752,+34.6312606,-097.7402937,2022,2021-2022,0.0599716752271888,1.32741514319802
3367,40, , ,09510, ,4009510,Davis Public Schools,00,PK,12,G5420, ,E,582264795,12006258,+34.4528358,-097.1866100,2022,2021-2022,0.0583023201791093,1.39651044964021
3368,40, , ,33300, ,4033300,Wynnewood Public Schools,00,PK,12,G5420, ,E,390893938,5645278,+34.6274402,-097.1710291,2022,2021-2022,0.0389792197020142,1.3235735601631
3369,40, , ,20040, ,4020040,Mill Creek Public Schools,00,PK,12,G5420, ,E,409329733,2134782,+34.3966383,-096.8162677,2022,2021-2022,0.040338807855278,1.16189397463263
3370,40, , ,07710, ,4007710,Cimarron Public Schools,00,KG,12,G5420, ,E,388579442,1319024,+36.2965930,-098.1492317,2022,2021-2022,0.0391154614499101,1.57221657681111
3371,40, , ,22650, ,4022650,Okeene Public Schools,00,KG,12,G5420, ,E,584349935,1024536,+36.0942887,-098.3082189,2022,2021-2022,0.0585759957789378,1.79609570327532
3372,40, , ,02850, ,4002850,Altus Public Schools,00,PK,12,G5420, ,E,632653475,2669232,+34.5728673,-099.2897784,2022,2021-2022,0.0624084870000843,2.44944551741699
3373,40, , ,25500, ,4025500,Rattan Public Schools,00,PK,12,G5420, ,E,664758100,8699316,+34.2312429,-095.2743877,2022,2021-2022,0.065886208279835,1.77291234864655
3374,40, , ,27960, ,4027960,Soper Public Schools,00,PK,12,G5420, ,E,358239750,500995,+34.0766490,-095.7142305,2022,2021-2022,0.0350394819804478,1.18641726697136
3375,40, , ,15090, ,4015090,Hooker Public Schools,00,PK,12,G5420, ,E,783932786,2620030,+36.8271115,-101.1967750,2022,2021-2022,0.0794442387420986,1.79160047240101
3376,40, , ,13740, ,4013740,Hardesty Public Schools,00,PK,12,G5420, ,E,646832420,585254,+36.5840865,-101.1444358,2022,2021-2022,0.0651899847534878,1.38037501972875
3377,40, , ,08940, ,4008940,Coyle Public Schools,00,PK,12,G5420, ,E,462207296,4755007,+35.9220170,-097.2419191,2022,2021-2022,0.0466331615846229,1.63175899381296
3378,40, , ,10200, ,4010200,Drumright Public Schools,00,PK,12,G5420, ,E,172562785,1207664,+35.9627542,-096.5650736,2022,2021-2022,0.017361451314855,0.806037612362876
3379,40, , ,20340, ,4020340,Morrison Public Schools,00,PK,12,G5420, ,E,364935160,15292086,+36.3133450,-097.0314758,2022,2021-2022,0.0381553197519224,1.42944967151909
3380,40, , ,11880, ,4011880,Forgan Public Schools,00,PK,12,G5420, ,E,969898598,3337405,+36.9157095,-100.4127863,2022,2021-2022,0.0984162784986893,1.88560170511064
3381,40, , ,27540, ,4027540,Shattuck Public Schools,00,KG,12,G5420, ,E,740956694,69344,+36.3131752,-099.9245701,2022,2021-2022,0.074352983615654,1.53165227930743
